goods_no,goods_name,brand,brand_en,price,normal_price,sale_rate,is_sold_out,thumbnail,url,gender,avg_rating,review_count,rating_dist
3862529,(공용) 맥시마이저 26 - 그레이:화이트 / K1GA240012,미즈노,mizuno,54990,79000,30,False,https://image.msscdn.net/images/goods_img/20240213/3862529/3862529_17078016251806_500.jpg,https://www.musinsa.com/products/3862529,공용,,1460,
5174704,NS93R02A 레이 스트라이드_REAL BLACK,노스페이스,thenorthface,59000,89000,34,False,https://image.msscdn.net/images/goods_img/20250610/5174704/5174704_17708600616980_500.jpg,https://www.musinsa.com/products/5174704,공용,,55,
5916487,슈퍼노바 이즈 2 M JQ4254,아디다스,adidas,79200,99000,20,False,https://image.msscdn.net/images/goods_img/20260120/5916487/5916487_17689693864246_500.jpg,https://www.musinsa.com/products/5916487,공용,,15,
6245530,[커버낫 X 미즈노] 웨이브 다이치 LS 브라운,커버낫,covernat,209000,209000,0,False,https://image.msscdn.net/images/goods_img/20260402/6245530/6245530_17764140390943_500.jpg,https://www.musinsa.com/products/6245530,남성,,6,
3428602,(공용) 맥시마이저 25 - 오이스터 머쉬룸:블랙 / K1GA230005,미즈노,mizuno,79000,79000,0,False,https://image.msscdn.net/images/goods_img/20230726/3428602/3428602_16922578046165_500.jpg,https://www.musinsa.com/products/3428602,공용,,1807,
5360128,(공용) 맥시마이저 27 - 블랙:블랙 샌드 / K1GA250209,미즈노,mizuno,79000,79000,0,False,https://image.msscdn.net/images/goods_img/20250825/5360128/5360128_17564487923843_500.jpg,https://www.musinsa.com/products/5360128,공용,,165,
3901126,NBPFGS150K / W480SK5 (4E) (BLACK),뉴발란스,newbalance,99000,99000,0,False,https://image.msscdn.net/images/goods_img/20240226/3901126/3901126_17479644701162_500.jpg,https://www.musinsa.com/products/3901126,공용,,1901,
4039813,프리미어 플로트직 쉐도우 - 화이트 / 100208100,리복,reebok,111300,159000,30,False,https://image.msscdn.net/images/goods_img/20240409/4039813/4039813_17140217010828_500.jpg,https://www.musinsa.com/products/4039813,공용,,15,
5890439,차지런 - 그레이 / 100262368,리복,reebok,79000,79000,0,False,https://image.msscdn.net/images/goods_img/20260113/5890439/5890439_17682885585179_500.jpg,https://www.musinsa.com/products/5890439,남성,,10,
4836543,페가수스 41 M - 블랙:앤트러사이트:블랙 / FD2722-001,나이키,nike,159000,159000,0,False,https://image.msscdn.net/images/goods_img/20250226/4836543/4836543_17411549721621_500.jpg,https://www.musinsa.com/products/4836543,남성,,70,
4290142,(공용) 웨이브 라이더 10 - 스노우 화이트:화이트 샌드:님버스 클라우드 / D1GA243104,미즈노,mizuno,126990,169000,25,False,https://image.msscdn.net/images/goods_img/20240801/4290142/4290142_17230165803647_500.jpg,https://www.musinsa.com/products/4290142,공용,,156,
5277377,보메로 플러스 W - 블랙:메탈릭 다크 그레이:쿨 그레이:다크 스모크 그레이 / HV8154-001,나이키,nike,209000,209000,0,False,https://image.msscdn.net/images/goods_img/20250729/5277377/5277377_17538632160754_500.jpg,https://www.musinsa.com/products/5277377,여성,,63,
4982686,MAXIMIZER 26_K1GA240002,미즈노,mizuno,63200,79000,20,False,https://image.msscdn.net/images/goods_img/20250403/4982686/4982686_17436540562633_500.jpg,https://www.musinsa.com/products/4982686,남성,,37,
5882655,아디스타 4 - 클라우드화이트:클리어오렌지 / JP6580,아디다스,adidas,94990,159000,40,False,https://image.msscdn.net/images/goods_img/20260109/5882655/5882655_17681820606874_500.jpg,https://www.musinsa.com/products/5882655,여성,,3,
4172869,페가수스 41 W - 블랙:안트라사이트:화이트 / FD2723-002,나이키,nike,111300,159000,30,False,https://image.msscdn.net/images/goods_img/20240603/4172869/4172869_17183401956383_500.jpg,https://www.musinsa.com/products/4172869,여성,,146,
